关键词,搜索量,在售商品数,近7天增长,近4周增长,转化率,季节基线,需求增速,供给增速,预估售价,成本,风险分,价格带,平台来源,竞争强度,市场体量,模拟类型,类目
家用折叠椅套装,19661,5824,59.6,82.8,7.3,11600,52.2,11.7,1044,334,28,1000+,抖音电商,22.2,629,高机会,个护健康
防水婴儿背带,81579,131520,14.1,27.1,2.8,68526,24.3,36.2,705,585,68.7,500-999,天猫,80.1,4813,红海高竞争,个护健康
收纳型空气炸锅纸爆款,23735,22060,30.6,6.9,3.7,26346,22.3,6,234,140,49,200-499,天猫,44.7,1733,成长机会,家居收纳
户外婴儿背带,22882,65866,2.1,4.5,3.1,25857,14.4,3.3,1078,668,68.4,1000+,拼多多,54.9,1007,普通观察,户外运动
大容量婴儿背带,42090,16498,84.6,37.9,6.3,29884,62.2,12.8,1137,398,28,1000+,京东,29.6,1263,高机会,个护健康
家用鞋盒,45242,35832,30.5,47.7,4.8,41170,31.9,6.9,1127,631,40.2,1000+,抖音电商,59.3,3031,成长机会,宠物用品
高颜值露营灯,360,4309,19.1,23.7,6.3,266,39.1,27.2,719,403,75.2,500-999,拼多多,34.6,19,低置信小样本,家居收纳
可折叠除湿机,22422,204196,21.7,4.2,3.5,24888,14.7,62.7,590,419,84.9,500-999,淘宝,83.7,1457,红海高竞争,母婴儿童
轻量沥水架,47290,49824,16.4,40.9,5.1,52492,15.4,33.7,552,337,52.7,500-999,京东,53.4,2175,成长机会,厨房用品
防水旅行压缩袋爆款,7172,42725,-3.6,4.3,2,9682,-2.8,15.6,408,265,69.7,200-499,天猫,73.8,215,普通观察,小家电
升级款恒温水壶,12120,29452,18.6,-0.5,2.9,15756,15.6,5,572,332,54.9,500-999,拼多多,48.5,400,普通观察,户外运动
升级款收纳推车套装,21863,70831,10,-4.3,4.3,24705,-0.5,15.8,138,75,62.3,100-199,拼多多,81.3,918,普通观察,厨房用品
轻量骑行眼镜,12999,30229,-9.6,-9.3,3.3,15989,0.1,27,950,684,73.7,500-999,淘宝,74.8,624,普通观察,小家电
小户型沥水架,85393,140458,27.1,33.1,1.7,100764,25.2,66.3,1169,900,67.3,1000+,淘宝,79.2,1964,红海高竞争,家居收纳
轻量猫砂盆,60339,17099,47.5,57.1,7.2,50081,33.8,24.8,1172,668,12.4,1000+,京东,42.8,4103,高机会,母婴儿童
家用恒温水壶,29954,9476,46.6,44.2,6.6,23065,69.2,27.6,501,225,25.7,500-999,天猫,18.7,629,高机会,厨房用品
新款沥水架爆款,49234,133090,-3.3,0.6,3.5,58588,15.9,66.2,920,626,68.2,500-999,天猫,87.9,3348,红海高竞争,小家电
收纳型沥水架,1519,543,64.6,-5.4,5.5,1230,27.1,0.7,851,587,73.5,500-999,天猫,51.3,43,低置信小样本,厨房用品
静音学习台灯,1007,664,62.9,63.7,3.7,514,4.1,13.6,105,46,33.7,100-199,抖音电商,37.9,40,低置信小样本,宠物用品
家用自动喂食器,49931,137860,-2.3,31.2,4.1,44938,6.4,55.6,888,604,78.4,500-999,拼多多,86.5,1548,红海高竞争,小家电
轻量空气炸锅纸,37712,11601,32,108.7,4.9,33564,51.4,20.6,747,329,44.1,500-999,京东,32,1999,高机会,宠物用品
高颜值骑行眼镜,93569,254892,5.6,-0.8,2.6,112283,6.8,39.8,866,572,74.9,500-999,拼多多,75.2,6831,红海高竞争,数码车品
高颜值恒温水壶套装,65537,244940,18.5,6.1,2.2,66848,15.3,42.8,1049,829,88.6,1000+,天猫,93.5,2294,红海高竞争,户外运动
高颜值露营灯爆款,89548,167713,16.6,6.7,3.2,87757,13.9,66.5,827,571,81.2,500-999,拼多多,92.9,2239,红海高竞争,宠物用品
智能宠物烘干箱,11474,43080,8,-9,2.6,12966,0.3,14.2,266,146,66.4,200-499,抖音电商,68.9,620,普通观察,小家电
小户型空气炸锅纸,75890,12513,81.8,41.8,5.2,71337,31.8,11.4,581,267,41.4,500-999,天猫,47.4,5161,高机会,母婴儿童
便携筋膜枪,4502,38134,20.9,11.1,2.4,5537,9.9,0.2,239,194,40.2,200-499,京东,46.3,342,普通观察,户外运动
收纳型空气炸锅纸,15823,64827,6.7,12,2,19937,1.6,27.1,863,518,64.3,500-999,拼多多,68.9,1092,普通观察,小家电
防水骑行眼镜,88071,181602,2.5,-1.9,2.8,104804,9.4,63,1252,1002,64,1000+,抖音电商,74.8,1849,红海高竞争,厨房用品
可折叠猫砂盆,78460,259939,8.3,33.9,3.4,63553,15,63,283,215,67.8,200-499,天猫,93.3,5414,红海高竞争,母婴儿童
升级款自动喂食器爆款,19406,9209,25.7,34.4,3.7,20958,20,16.4,323,223,52.9,200-499,抖音电商,67.4,1436,成长机会,户外运动
智能鞋盒,28639,39894,43.4,12.9,4.4,28639,34.4,15.6,791,530,53.3,500-999,抖音电商,59.3,1346,成长机会,母婴儿童
新款保温杯,74982,12041,40.5,59.9,7.5,59986,40.5,17.3,352,151,28.3,200-499,拼多多,32.3,4499,高机会,宠物用品
便携露营灯套装,10515,64337,19.9,17.3,4.9,13249,-2.8,33.2,405,324,69.2,200-499,京东,81.9,631,普通观察,个护健康
升级款收纳推车,15427,47839,35.5,36.2,6,15736,14.5,17.1,799,551,56.2,500-999,淘宝,65.5,802,成长机会,小家电
户外保温杯,15679,17934,30.4,10.5,3.4,17247,25.8,12,518,357,45.9,500-999,天猫,44.7,533,成长机会,个护健康
户外保温杯,21831,12797,39.9,97.5,7,12444,64.3,23.6,523,199,23.4,500-999,淘宝,40,1266,高机会,家居收纳
新款婴儿背带爆款,72220,17559,54.1,113,6.2,59943,45.6,16.9,834,275,32.9,500-999,拼多多,18.4,3178,高机会,母婴儿童
大容量保温杯,28363,6370,64.1,99.8,5.4,22123,60.3,12.7,600,198,35.7,500-999,拼多多,48.3,1390,高机会,小家电
高颜值护腰坐垫,21129,66696,-5.4,23.3,3,23876,8,15.3,989,752,42.5,500-999,天猫,63.3,1542,普通观察,家居收纳
防水筋膜枪,14477,10681,32.6,38.1,4.1,13898,20.1,7.6,312,162,61.8,200-499,天猫,40.2,927,成长机会,厨房用品
新款收纳推车,24223,23879,-7,22.9,4.2,25919,0.7,13.9,300,165,70.4,200-499,抖音电商,46.7,1817,普通观察,个护健康
家用沥水架,57565,7415,50.4,44.8,7.2,49506,51.2,11.4,117,39,41.1,100-199,京东,35.2,2763,高机会,母婴儿童
大容量护腰坐垫,22686,28668,19.2,33.4,4.5,22459,14.9,19.7,130,83,56.5,100-199,抖音电商,53.8,1656,成长机会,母婴儿童
高颜值学习台灯爆款,18884,6259,81.8,116.8,6.9,13785,68.3,9.6,376,143,38.2,200-499,京东,23.4,831,高机会,家居收纳
智能收纳推车,47366,11817,43.1,42.3,4.8,39787,30.7,19.8,920,350,22.1,500-999,拼多多,48.4,2747,高机会,母婴儿童
户外学习台灯,23679,14459,-9.1,1.6,2.3,23205,8.5,6.5,130,78,61.4,100-199,拼多多,66.6,1468,普通观察,个护健康
收纳型学习台灯,46516,48499,41.4,37.4,5.7,48842,17.5,8.5,287,161,54.3,200-499,淘宝,40.2,3442,成长机会,宠物用品
便携车载冰箱,27856,51879,14.4,30.3,4.3,27020,10.9,27.4,541,314,52.5,500-999,淘宝,51.5,780,成长机会,宠物用品
高颜值防晒衣,84304,83915,-2.8,28.1,4.1,96107,12.3,69.6,126,108,72.6,100-199,天猫,90.6,1939,红海高竞争,家居收纳
家用保温杯,12185,34784,24.2,52.1,5.2,9504,36.1,27.7,185,105,28.3,100-199,抖音电商,51.2,938,成长机会,母婴儿童
防水空气炸锅纸爆款,26256,228951,9.2,22.2,3.4,21792,3.1,45.9,513,385,91.2,500-999,淘宝,94.7,893,红海高竞争,宠物用品
免安装自动喂食器,13672,29290,34,12.6,4.3,13672,26.9,16.3,123,81,60.3,100-199,拼多多,42.1,752,成长机会,宠物用品
户外宠物烘干箱,49390,18755,16.3,53.4,5.3,45933,19,35.9,449,292,59.7,200-499,天猫,50.5,2815,成长机会,母婴儿童
大容量骑行眼镜,6757,74576,3.5,-5.7,4.6,8514,11.4,14.9,224,175,54.3,200-499,京东,58.3,176,普通观察,个护健康
户外旅行压缩袋套装,43585,3566,44.9,113.6,6.1,30945,42.4,23.4,355,195,16.3,200-499,京东,40.1,1787,高机会,户外运动
家用学习台灯,29264,36084,29.5,50.7,6.1,26630,34.6,35.7,234,145,45.1,200-499,京东,63.8,732,成长机会,家居收纳
家用婴儿背带,52182,12515,38.4,60.3,6.1,39137,67.1,27.8,336,161,21.5,200-499,抖音电商,35.4,2400,高机会,母婴儿童
高颜值护腰坐垫爆款,21621,63933,10,22,2.6,23134,3,0,387,252,71.1,200-499,京东,48.3,713,普通观察,小家电
免安装宠物烘干箱,45205,13828,24.4,13.7,5.9,44753,18.2,34,1193,656,54.7,1000+,天猫,43.2,2125,成长机会,小家电
家用宠物烘干箱,24093,221677,-2.8,29.3,1.8,26984,22.8,47.7,451,338,90.1,200-499,拼多多,89.6,1687,红海高竞争,个护健康
可折叠恒温水壶,24900,7484,14.2,16.3,4.4,21165,12.5,21,284,190,29.9,200-499,京东,36.9,697,成长机会,厨房用品
防水宠物烘干箱,82797,119881,11.1,28.7,3,82797,25.6,70.3,263,195,83.9,200-499,京东,74.3,3063,红海高竞争,厨房用品
户外收纳推车,9731,67210,5.9,-5.8,3.5,10899,9.5,22.7,1295,1062,45.1,1000+,京东,67.7,224,普通观察,个护健康
小户型露营灯,37958,117100,15.5,20.8,3.7,33023,18.5,66.2,1277,919,63.1,1000+,拼多多,91.2,2240,红海高竞争,个护健康
智能露营灯爆款,55820,10919,59.7,48.4,7.2,40190,62.3,24.6,159,72,36.5,100-199,抖音电商,44.5,3907,高机会,小家电
轻量露营灯套装,84933,158812,22.6,4.3,1.9,80686,17.9,36.6,119,94,85.6,100-199,拼多多,78.1,3992,红海高竞争,厨房用品
免安装恒温水壶,28647,1987,70.4,103,5.8,16042,63.4,3.2,1121,482,34.7,1000+,拼多多,31.4,2005,高机会,户外运动
大容量宠物烘干箱,84450,68908,9.2,-0.8,3.8,103874,14.2,31.4,971,699,63,500-999,京东,82.7,2702,红海高竞争,母婴儿童
新款沥水架,13888,15831,37.3,26.4,3.4,14027,28.8,33.4,415,212,34.7,200-499,京东,41.4,375,成长机会,小家电
便携车载冰箱,23185,256631,15.7,4.5,3.1,22721,15.1,49.3,313,263,74.3,200-499,拼多多,93.8,1669,红海高竞争,数码车品
大容量除湿机,8299,71468,-0.5,20.5,2.3,8880,5.3,1,1084,780,59.4,1000+,天猫,53.3,282,普通观察,宠物用品
收纳型宠物烘干箱爆款,20464,13294,54.7,56,5.1,11869,25.3,15.4,706,233,44.8,500-999,拼多多,27.5,1473,高机会,户外运动
便携车载冰箱,12473,21134,45,31.8,6,13097,37.7,26.4,845,549,47.7,500-999,天猫,44.4,274,成长机会,厨房用品
小户型空气炸锅纸,78672,14957,43.1,115.7,5.2,67658,66.8,17.8,139,53,42.7,100-199,淘宝,28.3,6215,高机会,户外运动
小户型车载冰箱,13230,12067,22.8,15.5,6.1,10584,13.7,15.4,658,362,53.9,500-999,淘宝,43.6,622,成长机会,个护健康
升级款宠物烘干箱,25396,17443,-7.3,0.1,2.4,31237,3.7,0.2,291,169,64.9,200-499,京东,52.2,813,普通观察,厨房用品
大容量猫砂盆套装,12031,59851,5.3,5.9,3.9,15400,10.1,13.8,677,528,70.8,500-999,淘宝,60.8,445,普通观察,数码车品
家用除湿机,42216,83814,17.5,7.6,3.4,49815,14.5,29.6,1206,1061,69.3,1000+,抖音电商,90.9,2364,红海高竞争,厨房用品
防水旅行压缩袋爆款,35832,12646,58.8,29.4,5.2,31890,57.7,21.1,106,56,32.3,100-199,抖音电商,18.3,1111,高机会,厨房用品
可折叠学习台灯,69362,8075,54.6,35,4.5,47166,50.5,16.7,945,321,27.5,500-999,淘宝,50.5,4717,高机会,宠物用品
高颜值筋膜枪,18463,31679,40.9,32.7,4,16801,32.3,30,35,23,33.2,20-49,淘宝,56.2,739,成长机会,宠物用品
收纳型筋膜枪,22033,13721,3.9,-8.5,4.3,18948,8.9,18.1,100,62,42.7,100-199,抖音电商,68.6,793,普通观察,宠物用品
防水鞋盒,2422,1754,79.6,24,2.1,2446,21.9,4.4,1020,724,70,1000+,抖音电商,48,150,低置信小样本,母婴儿童
收纳型沥水架,13782,72654,17.4,-3,4,13782,-1.8,20.3,1178,942,49.2,1000+,淘宝,46.7,1020,普通观察,母婴儿童
高颜值防晒衣,42608,43596,28.4,23.8,3.5,46017,34.9,23.7,190,106,57.5,100-199,拼多多,39.7,2642,成长机会,厨房用品
可折叠露营灯爆款,12710,35584,-2.7,20.1,2,14871,6.8,19.6,807,516,53.9,500-999,抖音电商,67.7,572,普通观察,厨房用品
收纳型筋膜枪,13972,38959,17.3,8.9,2,14391,7.3,30.7,589,465,49,500-999,京东,69.4,922,普通观察,母婴儿童
静音露营灯套装,88288,77038,12.6,22,2.2,104180,4.2,50.2,996,857,80.4,500-999,京东,84.8,4503,红海高竞争,母婴儿童
静音空气炸锅纸,48290,23185,41,42.5,4.6,41529,33.2,8.5,95,56,43.2,50-99,淘宝,41.8,1497,成长机会,厨房用品
收纳型空气炸锅纸,10230,43268,20.4,8.5,5.2,9412,37.2,13.6,1180,791,43,1000+,天猫,56,798,成长机会,小家电
收纳型鞋盒,47286,114447,11.9,-1.1,3.3,43503,13.2,69,1183,970,69.4,1000+,拼多多,76.7,3310,红海高竞争,宠物用品
小户型筋膜枪,43568,37834,13.8,37.3,4.3,40954,31.7,30.6,476,267,39.5,200-499,京东,65,3442,成长机会,宠物用品
免安装除湿机爆款,47959,29802,9.2,14.6,4.9,50837,29.9,15.8,614,436,58.2,500-999,淘宝,47.1,1774,成长机会,个护健康
家用鞋盒,41255,32761,26.1,43.1,4.1,32591,15.9,4.4,447,286,58,200-499,京东,36.1,2063,成长机会,母婴儿童
静音猫砂盆,19823,24975,10,6.6,4.6,20418,13.6,12.1,972,622,45.4,500-999,京东,62.5,436,成长机会,小家电
新款骑行眼镜,37547,160804,18.4,19.4,2.9,33041,15.7,46.8,328,272,87.8,200-499,天猫,75.4,1389,红海高竞争,家居收纳
便携折叠椅,22659,35333,11.3,28.5,4.1,23112,20.7,12.9,1208,640,32.9,1000+,拼多多,64.3,1337,成长机会,宠物用品
免安装护腰坐垫,13893,11673,13.6,42.6,3.4,11948,19.4,4.9,1073,697,49.2,1000+,淘宝,57.4,306,成长机会,个护健康
新款车载冰箱套装,2129,2552,30.6,55.2,3.6,2321,6.9,12.4,1133,612,70.6,1000+,抖音电商,29.7,113,低置信小样本,母婴儿童
智能除湿机爆款,707,4677,16.2,-1.2,4.9,686,48.6,15.8,619,446,72.5,500-999,京东,58.6,47,低置信小样本,家居收纳
收纳型露营灯,88109,225880,-3.4,24.8,2.1,87228,18.8,51.2,517,445,59,500-999,淘宝,85.4,4141,红海高竞争,小家电
高颜值防晒衣,24498,1419,46.8,27.8,6.7,22293,68.6,6.9,1188,594,20.1,1000+,抖音电商,50.7,980,高机会,户外运动
新款筋膜枪,16015,37441,43.4,44.5,5.2,12332,18,15.8,431,302,60.2,200-499,淘宝,67.4,1025,成长机会,数码车品
小户型保温杯,52862,160685,23.8,27.5,2.6,48633,19.6,40.1,228,194,65,200-499,淘宝,86.4,2802,红海高竞争,家居收纳
户外自动喂食器,52493,121214,-2.8,24.8,2.5,54593,25.1,36.6,822,592,81.5,500-999,拼多多,94.9,1260,红海高竞争,母婴儿童
轻量保温杯,60903,16615,84.2,59.1,7.6,48113,38.8,6.8,420,193,36.3,200-499,拼多多,35.7,3959,高机会,个护健康
可折叠车载冰箱爆款,21574,15673,85.8,79.6,6.6,18554,18.5,6.3,47,24,27.7,20-49,淘宝,51.2,1122,高机会,厨房用品
收纳型自动喂食器,49640,226478,14.5,33,2.1,53611,21.4,60.9,814,692,87.4,500-999,拼多多,83.7,2035,红海高竞争,母婴儿童
家用折叠椅,89268,178620,14.6,14.9,3.1,79449,11.7,58,1166,886,79.7,1000+,京东,84.9,5088,红海高竞争,母婴儿童
可折叠露营灯套装,86459,195745,11.9,13.4,2.9,101157,6.8,67.6,96,77,65,50-99,抖音电商,91.7,5620,红海高竞争,小家电
小户型猫砂盆,23444,23902,28.8,36.6,3.8,20865,9.8,29.1,861,620,36.8,500-999,淘宝,39.9,1711,成长机会,个护健康
智能婴儿背带,82429,181459,2.3,27.3,2.7,75010,12.9,35.6,70,54,60.9,50-99,抖音电商,84.9,1731,红海高竞争,小家电
升级款保温杯,50627,12031,79,33.4,6.3,43033,65.4,8,709,347,23.4,500-999,淘宝,47.3,2835,高机会,小家电
收纳型露营灯爆款,12317,89035,20.5,22.2,2.5,16012,17.2,26.8,350,200,63.4,200-499,拼多多,67.1,838,普通观察,厨房用品
免安装恒温水壶,39443,44494,17.5,54.6,3.9,41021,30.3,6,813,398,49.4,500-999,天猫,50.3,947,成长机会,宠物用品
新款折叠椅,2747,477,58.5,58,4.4,1346,38.5,38.8,937,721,32.1,500-999,京东,39.3,146,低置信小样本,个护健康
免安装自动喂食器,21974,64799,17.1,-1.4,3.3,27468,3.8,0,893,536,52.7,500-999,天猫,50.7,1428,普通观察,户外运动
便携折叠椅,9356,18140,29.8,32,4.9,9356,13.3,29.7,480,278,30.5,200-499,京东,65.4,196,成长机会,家居收纳
新款空气炸锅纸,23054,9571,26.5,75.6,6.2,18674,69.3,22.6,1240,595,14.8,1000+,淘宝,45,968,高机会,家居收纳
高颜值恒温水壶,13951,83416,12.6,22.2,2.7,13811,3.1,24.8,1203,686,68.9,1000+,天猫,47.4,851,普通观察,小家电
防水露营灯爆款,24362,70608,-5.5,6.6,2.6,26798,13,17.2,66,47,47.4,50-99,抖音电商,46.5,1535,普通观察,小家电
静音露营灯,32415,214222,12,17.1,2.8,26904,2.3,72,1291,904,87.6,1000+,淘宝,78.9,1232,红海高竞争,小家电
轻量护腰坐垫,10903,40264,38.8,24,5.1,8613,32.7,7.7,585,328,46.3,500-999,淘宝,42.3,567,成长机会,宠物用品
高颜值筋膜枪,12207,28683,2,23.7,3,14770,1.2,7,337,202,55.7,200-499,淘宝,77.7,305,普通观察,厨房用品
家用学习台灯,41968,22135,12.7,16.1,3.3,35673,22.6,16.2,887,497,43.5,500-999,抖音电商,37.3,3357,成长机会,小家电
高颜值筋膜枪,10172,21674,-11.1,-0.3,4.3,12613,4.3,27.5,539,404,51.1,500-999,拼多多,68.9,783,普通观察,户外运动
升级款宠物烘干箱,45946,2174,86.5,82.5,4.8,30324,29.2,29.9,887,417,16.1,500-999,抖音电商,38.4,2297,高机会,数码车品
户外防晒衣爆款,11237,84567,19.4,16.2,3.9,11462,5.5,6.7,679,543,49.9,500-999,抖音电商,72.5,888,普通观察,母婴儿童
收纳型护腰坐垫,13360,60984,3.8,21.2,4.4,15097,2,7.4,32,25,56.9,20-49,京东,72,935,普通观察,母婴儿童
大容量恒温水壶,51658,12708,16.3,38.4,4.4,41843,10.6,22.8,505,237,47.2,500-999,淘宝,51.6,3978,成长机会,厨房用品
大容量空气炸锅纸,78008,3417,68,72.3,6,55386,64.5,27.2,387,128,31.1,200-499,天猫,34.1,1638,高机会,个护健康
大容量宠物烘干箱套装,22277,58147,-10.2,1.5,3.2,20049,4.8,14.3,459,262,59.7,200-499,淘宝,53.6,1181,普通观察,宠物用品
可折叠宠物烘干箱,34511,29744,39.9,30.6,5.6,31060,24.8,26.8,832,541,40.6,500-999,拼多多,60.2,1070,成长机会,厨房用品
便携鞋盒,17013,48712,23.5,11.2,3.4,15142,21.6,11.4,1063,542,40.2,1000+,拼多多,64.9,1191,成长机会,家居收纳
升级款除湿机爆款,79088,162625,-3.3,27.6,3.7,77506,13,60.4,172,127,64.3,100-199,抖音电商,77.3,4033,红海高竞争,小家电
可折叠婴儿背带,20281,20649,18.4,23.3,4.4,16022,27.6,5.2,228,128,40,200-499,京东,40.6,1298,成长机会,小家电
家用筋膜枪,23551,62263,13.5,1.9,2,26848,6.1,4.1,600,396,46.8,500-999,天猫,74.1,1672,普通观察,母婴儿童
智能露营灯,39319,5926,77.6,79.4,7,24771,63.7,22.6,1060,466,33.9,1000+,京东,33.1,3106,高机会,小家电
小户型猫砂盆,47847,90608,1.4,15.7,3,47847,22.5,36.6,750,518,67.2,500-999,抖音电商,93,3349,红海高竞争,数码车品
大容量沥水架,14725,24754,-6.1,-4.9,4.5,13842,10.1,4.8,1114,657,52.5,1000+,天猫,45.6,810,普通观察,数码车品
升级款沥水架,1592,420,97.7,4.6,6.6,732,46.9,1.6,889,622,41,500-999,天猫,31.9,73,低置信小样本,个护健康
大容量收纳推车爆款,50813,30466,14.7,22.6,3.4,53862,8.5,26.9,433,264,51,200-499,拼多多,47,2947,成长机会,户外运动
家用防晒衣套装,18674,46449,26.3,43.4,5.8,14939,11.2,34.2,1234,864,37,1000+,拼多多,48.3,598,成长机会,厨房用品
高颜值学习台灯,18705,13926,79,85.4,6.9,15151,23.4,4.6,1252,426,23.9,1000+,淘宝,22.2,748,高机会,家居收纳
可折叠宠物烘干箱,66658,14612,85.4,81,6.9,49327,48.3,15,56,23,31.5,50-99,淘宝,34.5,4133,高机会,家居收纳
便携婴儿背带,74896,8714,59.8,73.5,7.3,70402,61.2,27.4,479,168,17.2,200-499,京东,33.8,2921,高机会,母婴儿童
防水保温杯,45349,34774,12.4,29.1,5.6,46709,28.6,34.8,1153,542,39.6,1000+,抖音电商,47.3,1224,成长机会,个护健康
轻量猫砂盆,15884,34892,2.8,-6.7,3.7,16361,11.3,22,552,353,63.6,500-999,拼多多,72.9,1096,普通观察,家居收纳
静音除湿机爆款,18356,26749,21.1,21.3,4.7,19457,-5.7,8.6,1141,719,71.1,1000+,抖音电商,70.5,1101,普通观察,数码车品
大容量折叠椅,85319,216657,-1.3,15.9,2.6,94704,3.8,47.6,1049,703,85.6,1000+,拼多多,90.4,6740,红海高竞争,小家电
轻量鞋盒,58747,123781,-2.6,22.3,2.7,69909,8,28.2,1071,750,78.3,1000+,拼多多,75.1,2761,红海高竞争,数码车品
升级款学习台灯,52802,213104,20.5,21.9,3.4,49634,8.8,74.8,1095,854,90.3,1000+,京东,94.6,3221,红海高竞争,厨房用品
家用防晒衣,75832,75121,20,34.9,4.1,81899,7.1,67.6,776,520,87.6,500-999,抖音电商,79.2,5991,红海高竞争,个护健康
大容量婴儿背带套装,83071,216722,23.3,0.6,1.6,101347,17.5,73.5,979,724,81.9,500-999,淘宝,73,4486,红海高竞争,宠物用品
轻量车载冰箱,34068,13065,78.5,79.2,5.9,27595,44.2,25.5,740,266,38.5,500-999,天猫,49.5,1499,高机会,小家电
新款宠物烘干箱爆款,38353,175989,24.9,22.2,2.9,34134,5.7,28.8,629,459,84.9,500-999,京东,74.4,2992,红海高竞争,家居收纳
便携猫砂盆,68877,197157,22.8,31,1.7,70943,25.8,79,1036,746,81.3,1000+,天猫,87.2,2273,红海高竞争,小家电
